model,year,line,pax,coches_km,C,eps_Y1,eps_Y2,RTD,RTS,AC,MC,MC_over_AC,s_L_obs,s_L_pred,s_E_pred
M-OP,2023,L1,116090898,26211739,110159775.13841908,0.4562814893146837,0.2462594416947915,2.191629560738831,1.4234046101244355,0.9489096650662404,0.4329699152015219,0.4562814893146837,0.5790594505868005,0.5515333291245622,0.06956692184153465
M-OP,2023,L2,49762480,8516215,36572280.83394331,0.47013764892846105,0.23240328208101416,2.1270366291217107,1.4234046101244355,0.7349368607421356,0.34552148782017145,0.4701376489284611,0.5666891804393845,0.5629331093046606,0.049853445893169916
M-OP,2023,L3,84211811,15550218,66038582.3936256,0.4663362088923337,0.2362047221171415,2.1443756262788445,1.4234046101244355,0.7841962025211119,0.36569908411146007,0.46633620889233374,0.5730454975442967,0.5539322073560559,0.06113521186345093
M-OP,2023,L4,53089707,11246604,48297744.91810834,0.4594690244252769,0.24307190658419833,2.1764252797037664,1.4234046101244355,0.9097383965239879,0.4179966135330924,0.4594690244252769,0.5666891804393847,0.5659061234812753,0.05328160641846563
M-OP,2023,L5,107913473,22730493,95458730.39143471,0.45975430456442723,0.242786626445048,2.1750747955419434,1.4234046101244355,0.8845858421351588,0.4066921486783881,0.4597543045644272,0.5794868029422281,0.5516050781769131,0.06741148363933769
M-OP,2023,L9/L10 Nord,11039400,6078367,27357790.50491397,0.4117099135302204,0.2908310174792548,2.4288946346359905,1.4234046101244355,2.4781954186743818,1.020297621533418,0.4117099135302204,0.5406998667669258,0.6164200153613831,0.03142318107539162
M-OP,2023,L9/L10 Sud,15724587,7827117,34305416.07916129,0.4167547510404497,0.28578617996902556,2.399492741242778,1.4234046101244355,2.1816417867865963,0.9092095797116898,0.41675475104044973,0.5552511504736193,0.6073269834215983,0.037489310509039045
M-OP,2024,L1,125065070,24911058,106998977.96809326,0.4594340597378667,0.23905973954716073,2.1765909139835147,1.4316519359564708,0.855546460479279,0.3930671836323575,0.4594340597378667,0.58697838376432,0.5541770912783331,0.06473558354537694
M-OP,2024,L2,48773807,8569718,37473204.00185709,0.46570587197869096,0.23278792730633643,2.1472780571805985,1.4316519359564708,0.7683059065259574,0.3578045721450496,0.46570587197869096,0.5765742809884833,0.5705011810799948,0.04464840639922063
M-OP,2024,L3,88863235,15647912,67744646.7488653,0.4655959908083514,0.23289780847667602,2.147784817184175,1.4316519359564708,0.7623472941184879,0.354945843745163,0.46559599080835135,0.5823592668245439,0.5585470320387599,0.05666848414265924
M-OP,2024,L4,61610767,11317261,49487513.68184179,0.4634833192772759,0.23501048000775154,2.157574951261097,1.4316519359564708,0.8032283331554985,0.372282933988464,0.4634833192772759,0.5765742809884834,0.5667173378151944,0.04976578128487019
M-OP,2024,L5,111607243,22873297,98040957.82500316,0.4580087315470808,0.24048506773794662,2.1833644887558337,1.4316519359564708,0.8784461938998275,0.40233602700042104,0.4580087315470809,0.5882078076403701,0.5570241868063085,0.0627436849318731
M-OP,2024,L9/L10 Nord,12216801,6116554,27897457.812429737,0.413348601751664,0.2851451975333634,2.41926547171627,1.4316519359564708,2.2835321466257605,0.9438948198627339,0.413348601751664,0.5527793096445497,0.6191317149997465,0.027432234615685055
M-OP,2024,L9/L10 Sud,18038059,7876290,35076399.76585265,0.42018928587763227,0.27830451340739515,2.379879815144122,1.4316519359564708,1.9445772832793513,0.8170905399950169,0.42018928587763227,0.5661301359255891,0.6086020057673704,0.033857533372480285
M-OP,2025,L1,126387074,24886457,107209039.2318116,0.46095215433332826,0.23801311537216935,2.1694225541613807,1.43068624914846,0.8482595240064786,0.3910070550245499,0.46095215433332826,0.576317707928515,0.5512950159449082,0.06523863591105986
M-OP,2025,L2,52732320,8561255,37511083.51895114,0.47059997014280197,0.2283652995626956,2.1249470111452693,1.43068624914846,0.7113490079509329,0.33476082190282086,0.470599970142802,0.566641156059421,0.5649183028916502,0.045826659478633444
M-OP,2025,L3,89346904,15632460,67848999.64071079,0.4668597372217617,0.23210553248373586,2.141970961023338,1.43068624914846,0.7593883682943372,0.35452785407115667,0.4668597372217617,0.572023873758286,0.555868435250976,0.057120666871931916
M-OP,2025,L4,55430800,11306085,49537537.77693547,0.45919059886029645,0.23977467084520115,2.177744933110529,1.43068624914846,0.8936825334820258,0.41037061774059835,0.45919059886029645,0.5666411560594211,0.5684839144917222,0.04910667064806485
M-OP,2025,L5,121402857,22850708,98244465.9998935,0.4632074966864842,0.23575777301901338,2.1588597057547982,1.43068624914846,0.8092434430920642,0.37484762948462635,0.46320749668648414,0.5774599439951602,0.55119757503773,0.0639828714063444
M-OP,2025,L9/L10 Nord,13465494,6110514,27864893.416972376,0.4192068576381623,0.27975841206733526,2.385457159823345,1.43068624914846,2.069355451569202,0.8674879961887254,0.4192068576381623,0.5444407867438504,0.6127775106334923,0.028803319239575298
M-OP,2025,L9/L10 Sud,18997949,7868512,35078322.3743377,0.4237739834427495,0.275191286262748,2.3597484486328706,1.43068624914846,1.846426810301349,0.7824676445368927,0.4237739834427495,0.5569088252789286,0.604066648058221,0.034773906332094325
M-FU,2023,L1,116090898,26211739,122617526.63152765,0.5062814893146836,0.19625944169479145,1.975185783216422,1.4234046101244358,1.056219985752265,0.5347446274305906,0.5062814893146836,0.5202279039611363,0.38436620129841376,0.05380067944229164
M-FU,2023,L2,49762480,8516215,40619814.18115864,0.5201376489284609,0.18240328208101417,1.9225680011052972,1.4234046101244358,0.8162739112109895,0.4245747930589233,0.5201376489284609,0.5102218281983086,0.39576598147851216,0.0340872034939269
M-FU,2023,L3,84211811,15550218,73429192.90243405,0.5163362088923336,0.1862047221171415,1.9367225903936558,1.423404610124436,0.871958363446596,0.45022367569397886,0.5163362088923334,0.5153687628727944,0.3867650795299075,0.04536896946420792
M-FU,2023,L4,53089707,11246604,53642960.71252248,0.5094690244252768,0.19307190658419834,1.9628278699143344,1.4234046101244358,1.0104211106782428,0.514778257515949,0.5094690244252768,0.5102218281983087,0.3987389956551269,0.03751536401922262
M-FU,2023,L5,107913473,22730493,106261936.76436482,0.509754304564427,0.19278662644504801,1.9617293881499955,1.423404610124436,0.984695736410641,0.5019528903215627,0.509754304564427,0.5205728050122206,0.38443795035076467,0.05164524124009467
M-FU,2023,L9/L10 Nord,11039400,6078367,85741881.75788912,0.4617099135302204,0.24083101747925478,2.1658620936986805,1.4234046101244355,7.766896910872794,3.5860533011172135,0.4617099135302204,0.172521915518648,0.4492528875352348,0.0156569386761486
M-FU,2023,L9/L10 Sud,15724587,7827117,117073136.14656296,0.46675475104044967,0.23578617996902554,2.1424527501238835,1.4234046101244355,7.44522804615237,3.4750955631212235,0.4667547510404497,0.1627027546403498,0.4401598555954498,0.02172306810979603
M-FU,2024,L1,125065070,24911058,118652309.584425,0.5094340597378666,0.18905973954716074,1.9629625873750138,1.431651935956471,0.9487246085931508,0.48331262892882726,0.5094340597378666,0.529328821091821,0.3854192258562146,0.05064036309897317
M-FU,2024,L2,48773807,8569718,41482096.96860986,0.5157058719786909,0.18278792730633645,1.9390898074577678,1.431651935956471,0.8504994692870675,0.43860757042610105,0.515705871978691,0.5208532652063168,0.40174331565787624,0.030553185952816874
M-FU,2024,L3,88863235,15647912,75064701.69273755,0.5155959908083513,0.18289780847667603,1.939503056321676,1.431651935956471,0.844721686001388,0.4355351146511866,0.5155959908083513,0.5255695676170767,0.3897891666166414,0.04257326369625547
M-FU,2024,L4,61610767,11317261,54781700.57686645,0.5134833192772758,0.18501048000775155,1.9474829316899587,1.431651935956471,0.8891579060664259,0.4565677529686205,0.5134833192772758,0.5208532652063169,0.3979594723930758,0.03567056083846643
M-FU,2024,L5,111607243,22873297,108741029.7778666,0.5080087315470807,0.19048506773794663,1.9684701027768123,1.431651935956471,0.9743187525729544,0.49496243361712056,0.5080087315470807,0.5303284048257658,0.3882663213841899,0.048648464485469334
M-FU,2024,L9/L10 Nord,12216801,6116554,88136866.21611632,0.463348601751664,0.23514519753336344,2.1582022611475566,1.4316519359564708,7.214398124035607,3.3427812832517256,0.4633486017516639,0.17496807105189563,0.45037384957762805,0.013337014169281295
M-FU,2024,L9/L10 Sud,18038059,7876290,123479448.72543643,0.47018928587763226,0.2283045134073952,2.1268030345128963,1.4316519359564708,6.845495334361443,3.21867856274207,0.4701892858776322,0.16081872062271207,0.4398441403452518,0.01976231292607653
M-FU,2025,L1,126387074,24886457,111816148.1659546,0.5109521543333282,0.1880131153721694,1.9571304113684846,1.43068624914846,0.8847118983540564,0.4520454504283336,0.5109521543333282,0.5525719564905245,0.3826373275005856,0.050939436057775705
M-FU,2025,L2,52732320,8561255,39095987.06509802,0.5205999701428019,0.17836529956269562,1.9208606556886614,1.43068624914846,0.7414046464312213,0.38597523679582835,0.5205999701428018,0.5436702159438541,0.39626061444732774,0.0315274596253493
M-FU,2025,L3,89346904,15632460,70742960.92497288,0.5168597372217617,0.18210553248373584,1.93476087995406,1.43068624914846,0.7917785368922562,0.40923844651596253,0.5168597372217617,0.5486234545125356,0.3872107468066534,0.04282146701864777
M-FU,2025,L4,55430800,11306085,51630578.337877534,0.5091905988602964,0.18977467084520117,1.9639011447545678,1.43068624914846,0.9314420563635657,0.4742815384834299,0.5091905988602964,0.5436702159438542,0.39982622604739965,0.03480747079478071
M-FU,2025,L5,121402857,22850708,102474706.6480634,0.5132074966864842,0.18575777301901333,1.9485296034381483,1.43068624914846,0.8440880979272457,0.43319233972009774,0.5132074966864842,0.5536219198848037,0.38253988659340743,0.049683671553060256
M-FU,2025,L9/L10 Nord,13465494,6110514,85915869.4933339,0.4692068576381623,0.2297584120673353,2.131256147946518,1.43068624914846,6.380446903272461,2.993749441811615,0.4692068576381623,0.1765772095881199,0.4441198221891697,0.014504119386291153
M-FU,2025,L9/L10 Sud,18997949,7868512,116840896.85665923,0.4737739834427495,0.22519128626274806,2.1107110878764392,1.43068624914846,6.150184783455268,2.913797543766586,0.4737739834427495,0.16719682775299208,0.43540895961389836,0.02047470647881018
